State,Year,Total
Alabama,2017,36
Alabama,2016,34
Alabama,2015,31
Alabama,2014,27
Alabama,2013,19
Alabama,2012,20
Alabama,2011,27
Alabama,2010,22
Alabama,2009,22
Alabama,2008,22
Alabama,2007,23
Alabama,2006,21
Alabama,2005,21
Alabama,2004,24
Alabama,2003,49
Alabama,2002,45
Alabama,2001,41
Alabama,2000,42
Alabama,1999,42
Alabama,1998,33
Alabama,1997,37
Alabama,1996,38
Alabama,1995,32
Alabama,1994,20
Alabama,1993,20
Alabama,1992,23
Alabama,1991,22
Alabama,1990,26
Alabama,1989,17
Alabama,1988,21
Alabama,1987,25
Alabama,1986,25
Alabama,1985,17
Alabama,1984,19
Alabama,1983,17
Alabama,1982,19
Alabama,1981,22
Alabama,1980,16
Alabama,1979,13
Alabama,1978,12
Alabama,1977,23
Alabama,1976,20
Alabama,1975,21
Alaska,2017,11
Alaska,2016,7
Alaska,2015,7
Alaska,2014,10
Alaska,2013,6
Alaska,2012,9
Alaska,2011,10
Alaska,2010,12
Alaska,2009,12
Alaska,2008,9
Alaska,2007,6
Alaska,2006,8
Alaska,2005,9
Alaska,2004,6
Alaska,2003,14
Alaska,2002,10
Alaska,2001,16
Alaska,2000,16
Alaska,1999,19
Alaska,1998,12
Alaska,1997,14
Alaska,1996,15
Alaska,1995,21
Alaska,1994,10
Alaska,1993,5
Alaska,1992,5
Alaska,1991,6
Alaska,1990,8
Alaska,1989,8
Alaska,1988,6
Alaska,1987,0
Alaska,1986,0
Alaska,1985,0
Alaska,1984,0
Alaska,1983,3
Alaska,1982,4
Alaska,1981,2
Alaska,1980,2
Alaska,1979,1
Alaska,1978,2
Alaska,1977,2
Alaska,1976,3
Alaska,1975,2
Arizona,2017,105
Arizona,2016,70
Arizona,2015,66
Arizona,2014,52
Arizona,2013,43
Arizona,2012,42
Arizona,2011,34
Arizona,2010,40
Arizona,2009,40
Arizona,2008,32
Arizona,2007,29
Arizona,2006,40
Arizona,2005,43
Arizona,2004,40
Arizona,2003,60
Arizona,2002,52
Arizona,2001,50
Arizona,2000,41
Arizona,1999,39
Arizona,1998,35
Arizona,1997,32
Arizona,1996,35
Arizona,1995,42
Arizona,1994,32
Arizona,1993,29
Arizona,1992,29
Arizona,1991,22
Arizona,1990,21
Arizona,1989,21
Arizona,1988,22
Arizona,1987,21
Arizona,1986,20
Arizona,1985,15
Arizona,1984,15
Arizona,1983,11
Arizona,1982,12
Arizona,1981,12
Arizona,1980,11
Arizona,1979,13
Arizona,1978,17
Arizona,1977,22
Arizona,1976,18
Arizona,1975,13
Arkansas,2017,22
Arkansas,2016,24
Arkansas,2015,22
Arkansas,2014,19
Arkansas,2013,24
Arkansas,2012,24
Arkansas,2011,21
Arkansas,2010,16
Arkansas,2009,16
Arkansas,2008,15
Arkansas,2007,22
Arkansas,2006,20
Arkansas,2005,23
Arkansas,2004,23
Arkansas,2003,34
Arkansas,2002,28
Arkansas,2001,25
Arkansas,2000,33
Arkansas,1999,39
Arkansas,1998,34
Arkansas,1997,31
Arkansas,1996,21
Arkansas,1995,18
Arkansas,1994,4
Arkansas,1993,13
Arkansas,1992,16
Arkansas,1991,13
Arkansas,1990,14
Arkansas,1989,12
Arkansas,1988,10
Arkansas,1987,16
Arkansas,1986,12
Arkansas,1985,15
Arkansas,1984,15
Arkansas,1983,14
Arkansas,1982,12
Arkansas,1981,7
Arkansas,1980,9
Arkansas,1979,13
Arkansas,1978,11
Arkansas,1977,17
Arkansas,1976,13
Arkansas,1975,11
California,2017,1479
California,2016,1205
California,2015,1098
California,2014,884
California,2013,692
California,2012,578
California,2011,466
California,2010,396
California,2009,396
California,2008,306
California,2007,295
California,2006,301
California,2005,298
California,2004,294
California,2003,462
California,2002,410
California,2001,397
California,2000,382
California,1999,345
California,1998,345
California,1997,346
California,1996,312
California,1995,249
California,1994,204
California,1993,217
California,1992,191
California,1991,171
California,1990,164
California,1989,146
California,1988,166
California,1987,178
California,1986,160
California,1985,177
California,1984,171
California,1983,155
California,1982,141
California,1981,121
California,1980,103
California,1979,92
California,1978,105
California,1977,118
California,1976,109
California,1975,117
Colorado,2017,119
Colorado,2016,88
Colorado,2015,85
Colorado,2014,80
Colorado,2013,69
Colorado,2012,63
Colorado,2011,53
Colorado,2010,49
Colorado,2009,49
Colorado,2008,39
Colorado,2007,35
Colorado,2006,43
Colorado,2005,49
Colorado,2004,45
Colorado,2003,79
Colorado,2002,88
Colorado,2001,79
Colorado,2000,81
Colorado,1999,82
Colorado,1998,69
Colorado,1997,71
Colorado,1996,63
Colorado,1995,58
Colorado,1994,56
Colorado,1993,56
Colorado,1992,54
Colorado,1991,48
Colorado,1990,39
Colorado,1989,30
Colorado,1988,35
Colorado,1987,44
Colorado,1986,35
Colorado,1985,30
Colorado,1984,41
Colorado,1983,32
Colorado,1982,27
Colorado,1981,25
Colorado,1980,9
Colorado,1979,24
Colorado,1978,12
Colorado,1977,17
Colorado,1976,18
Colorado,1975,26
Connecticut,2017,85
Connecticut,2016,68
Connecticut,2015,65
Connecticut,2014,56
Connecticut,2013,63
Connecticut,2012,52
Connecticut,2011,64
Connecticut,2010,56
Connecticut,2009,56
Connecticut,2008,49
Connecticut,2007,37
Connecticut,2006,39
Connecticut,2005,39
Connecticut,2004,31
Connecticut,2003,75
Connecticut,2002,65
Connecticut,2001,56
Connecticut,2000,65
Connecticut,1999,54
Connecticut,1998,58
Connecticut,1997,63
Connecticut,1996,60
Connecticut,1995,57
Connecticut,1994,43
Connecticut,1993,53
Connecticut,1992,50
Connecticut,1991,51
Connecticut,1990,49
Connecticut,1989,46
Connecticut,1988,35
Connecticut,1987,37
Connecticut,1986,40
Connecticut,1985,39
Connecticut,1984,35
Connecticut,1983,34
Connecticut,1982,41
Connecticut,1981,44
Connecticut,1980,49
Connecticut,1979,43
Connecticut,1978,41
Connecticut,1977,55
Connecticut,1976,47
Connecticut,1975,47
Delaware,2017,8
Delaware,2016,9
Delaware,2015,8
Delaware,2014,12
Delaware,2013,11
Delaware,2012,13
Delaware,2011,8
Delaware,2010,8
Delaware,2009,8
Delaware,2008,10
Delaware,2007,12
Delaware,2006,9
Delaware,2005,6
Delaware,2004,6
Delaware,2003,5
Delaware,2002,10
Delaware,2001,11
Delaware,2000,11
Delaware,1999,12
Delaware,1998,11
Delaware,1997,10
Delaware,1996,16
Delaware,1995,17
Delaware,1994,11
Delaware,1993,12
Delaware,1992,10
Delaware,1991,13
Delaware,1990,9
Delaware,1989,9
Delaware,1988,9
Delaware,1987,3
Delaware,1986,9
Delaware,1985,8
Delaware,1984,9
Delaware,1983,9
Delaware,1982,10
Delaware,1981,9
Delaware,1980,10
Delaware,1979,9
Delaware,1978,11
Delaware,1977,13
Delaware,1976,8
Delaware,1975,10
District of Columbia,2017,12
District of Columbia,2016,9
District of Columbia,2015,10
District of Columbia,2014,10
District of Columbia,2013,7
District of Columbia,2012,8
District of Columbia,2011,9
District of Columbia,2010,16
District of Columbia,2009,16
District of Columbia,2008,18
District of Columbia,2007,14
District of Columbia,2006,9
District of Columbia,2005,3
District of Columbia,2004,8
District of Columbia,2003,10
District of Columbia,2002,11
District of Columbia,2001,13
District of Columbia,2000,18
